target_kind,complexity,noise_std,model,dim,eig_idx,budget,selected_lr,median_test_rmse,q25_test_rmse,q75_test_rmse,mean_test_rmse,n
general,5,0.0,unconstrained,9,4,100,0.0372759372031493,0.35015231370925903,0.30496665835380554,0.43945370614528656,0.3701324053108692,96
general,5,0.0,unconstrained,9,4,200,0.0372759372031493,0.2935766577720642,0.2520781680941581,0.3698234781622886,0.3158242066080371,96
general,5,0.0,unconstrained,9,4,500,0.0372759372031493,0.2308748215436935,0.19719867408275604,0.26838273555040354,0.24347348107645905,96
general,5,0.0,unconstrained,15,7,1,0.0372759372031493,0.8376972675323486,0.7364153861999512,0.9099966436624527,0.8381255970646938,96
general,5,0.0,unconstrained,15,7,2,0.0372759372031493,0.7288117408752441,0.6613809317350388,0.8380192518234253,0.7555921872456869,96
general,5,0.0,unconstrained,15,7,5,0.0372759372031493,0.6505317091941833,0.5714308470487595,0.7266582697629929,0.6528401635587215,96
general,5,0.0,unconstrained,15,7,10,0.0138949549437313,0.6004309356212616,0.5189428776502609,0.6704411655664444,0.6058006168653568,96
general,5,0.0,unconstrained,15,7,20,0.0372759372031493,0.5207745432853699,0.4394553452730179,0.5843536555767059,0.5214438131079078,96
general,5,0.0,unconstrained,15,7,50,0.0372759372031493,0.4038130193948746,0.3532153442502022,0.47661312669515604,0.4222900488724311,96
general,5,0.0,unconstrained,15,7,100,0.0372759372031493,0.34316819906234736,0.28326133638620377,0.397375151515007,0.35051844532911974,96
general,5,0.0,unconstrained,15,7,200,0.0138949549437313,0.2915416806936264,0.24113836884498593,0.3533354699611664,0.3009467837400734,96
general,5,0.0,unconstrained,15,7,500,0.0138949549437313,0.1969395875930786,0.17588473856449122,0.2563789784908294,0.2177686027716845,96
general,5,0.1,unconstrained,5,2,1,0.1,0.9940825700759888,0.8986647576093674,1.1144094467163086,1.0018487858275573,96
general,5,0.1,unconstrained,5,2,2,0.1,0.8692396283149719,0.7642501443624496,0.9883477538824081,0.8783539577076832,96
general,5,0.1,unconstrained,5,2,5,0.1,0.7737909853458405,0.6750638484954834,0.8932408094406128,0.7919870854044954,96
general,5,0.1,unconstrained,5,2,10,0.1,0.6973733901977539,0.6144350320100784,0.7539600282907486,0.6950895208865404,96
general,5,0.1,unconstrained,5,2,20,0.1,0.6066056191921234,0.5451752990484238,0.6869867742061615,0.612998239385585,96
general,5,0.1,unconstrained,5,2,50,0.1,0.4972989708185196,0.43014137446880335,0.57216677069664,0.5116027103116115,96
general,5,0.1,unconstrained,5,2,100,0.0372759372031493,0.4296446889638901,0.38079778105020523,0.5127816051244736,0.4451831236171226,96
general,5,0.1,unconstrained,5,2,200,0.1,0.36344319581985474,0.32562291622161865,0.4836971163749694,0.4023840273730457,96
general,5,0.1,unconstrained,5,2,500,0.0372759372031493,0.30944643914699554,0.26227900385856623,0.3858376666903496,0.3305777677645286,96
general,5,0.1,unconstrained,9,4,1,0.0372759372031493,0.9259199798107147,0.8044509589672089,1.0260770320892336,0.928791639705499,96
general,5,0.1,unconstrained,9,4,2,0.0372759372031493,0.8171631991863251,0.7280636727809906,0.9318270534276962,0.8338986970484257,96
general,5,0.1,unconstrained,9,4,5,0.0372759372031493,0.7054534554481506,0.6168618500232697,0.7920616567134857,0.7118788724765182,96
general,5,0.1,unconstrained,9,4,10,0.0372759372031493,0.6398197710514069,0.5448962301015854,0.7193417251110077,0.6354606132954359,96
general,5,0.1,unconstrained,9,4,20,0.0372759372031493,0.5729787349700928,0.49952343851327896,0.6369870603084564,0.5652263664330045,96
general,5,0.1,unconstrained,9,4,50,0.0372759372031493,0.44671203196048737,0.38695654273033137,0.5291429907083511,0.45564039920767146,96
general,5,0.1,unconstrained,9,4,100,0.0372759372031493,0.3583827018737793,0.3158300295472145,0.441440686583519,0.3794446224346757,96
general,5,0.1,unconstrained,9,4,200,0.0372759372031493,0.30719462037086487,0.2605097368359566,0.3606908917427063,0.32206763047724957,96
general,5,0.1,unconstrained,9,4,500,0.0372759372031493,0.2325634285807609,0.20609115436673162,0.280401736497879,0.2537653315812349,96
general,5,0.1,unconstrained,15,7,1,0.0372759372031493,0.8346816897392273,0.7352258861064911,0.914654016494751,0.8360450646529595,96
general,5,0.1,unconstrained,15,7,2,0.0372759372031493,0.7462838888168335,0.6678705513477325,0.8240107446908951,0.7566704303026199,96
general,5,0.1,unconstrained,15,7,5,0.0372759372031493,0.6686369180679321,0.5777313411235809,0.7356244921684265,0.6684604523082575,96
general,5,0.1,unconstrained,15,7,10,0.0372759372031493,0.6040027141571045,0.5046117603778839,0.6750868260860443,0.5961755138511459,96
general,5,0.1,unconstrained,15,7,20,0.0372759372031493,0.5169648826122284,0.451710507273674,0.6062693297863007,0.5330272549763322,96
general,5,0.1,unconstrained,15,7,50,0.0372759372031493,0.4104426205158233,0.3778377175331116,0.48481260240077967,0.44052639324218035,96
general,5,0.1,unconstrained,15,7,100,0.0372759372031493,0.3455195277929306,0.30331602692604065,0.41647425293922424,0.3685212751540045,96
general,5,0.1,unconstrained,15,7,200,0.0138949549437313,0.287465289235115,0.24774330481886858,0.35095073282718653,0.30541886202991003,96
general,5,0.1,unconstrained,15,7,500,0.0138949549437313,0.20655020326375956,0.17507182806730265,0.2538235932588577,0.22326642880216238,96
general,9,0.0,unconstrained,5,2,1,0.0372759372031493,1.078476071357727,1.0246962904930113,1.176007717847824,1.0946108394612868,96
general,9,0.0,unconstrained,5,2,2,0.1,1.0056862235069275,0.9418430477380753,1.0784003138542175,1.0112055589755375,96
general,9,0.0,unconstrained,5,2,5,0.0372759372031493,0.9283844530582428,0.8768219500780106,0.9928439855575562,0.936171984920899,96
general,9,0.0,unconstrained,5,2,10,0.0372759372031493,0.8861759305000305,0.8383554220199585,0.9406135231256485,0.8900246800233921,96
general,9,0.0,unconstrained,5,2,20,0.0372759372031493,0.8463221490383148,0.7933815270662308,0.8888282477855682,0.8487844833483299,96
general,9,0.0,unconstrained,5,2,50,0.0372759372031493,0.7966860830783844,0.7621586173772812,0.8528522551059723,0.8060948451360067,96
general,9,0.0,unconstrained,5,2,100,0.0372759372031493,0.7649411261081696,0.7273173481225967,0.8098612427711487,0.7716243142882983,96
