target_kind,complexity,noise_std,model,dim,eig_idx,budget,selected_lr,median_test_rmse,q25_test_rmse,q75_test_rmse,mean_test_rmse,n
monotone,10,0.0,monotone,5,2,20,0.1,0.20954559743404383,0.16980485618114466,0.2705163806676864,0.21313596889376638,96
monotone,10,0.0,monotone,5,2,50,0.1,0.1550330519676208,0.11481982655823225,0.19493478164076802,0.15986097553589687,96
monotone,10,0.0,monotone,5,2,100,0.1,0.1187080815434455,0.08644798398017878,0.16656389087438578,0.12765572720672932,96
monotone,10,0.0,monotone,5,2,200,0.1,0.08998278528451915,0.06313802115619177,0.12240296229720114,0.10148247645702209,96
monotone,10,0.0,monotone,5,2,500,0.0372759372031493,0.06171344034373755,0.04436026979237792,0.09949356317520137,0.07954287280639008,96
monotone,10,0.0,monotone,9,4,1,0.1,0.6881263256072998,0.5890185385942459,0.769105389714241,0.6939237136393785,96
monotone,10,0.0,monotone,9,4,2,0.1,0.52607262134552,0.4408249780535698,0.6166818588972092,0.538702388604482,96
monotone,10,0.0,monotone,9,4,5,0.1,0.29711923003196716,0.23589693009853357,0.3833130300045013,0.3156149244556824,96
monotone,10,0.0,monotone,9,4,10,0.1,0.22089345753192896,0.17524755746126167,0.27498383820056915,0.23322104352215922,96
monotone,10,0.0,monotone,9,4,20,0.1,0.19164368510246277,0.15101918205618858,0.2350169532001018,0.19787034372954315,96
monotone,10,0.0,monotone,9,4,50,0.1,0.1321388855576515,0.1005308367311954,0.171272799372673,0.14241597657868013,96
monotone,10,0.0,monotone,9,4,100,0.1,0.0908581987023353,0.06499469839036465,0.1295472159981727,0.10434955381788309,96
monotone,10,0.0,monotone,9,4,200,0.1,0.0649473667144775,0.04928539320826525,0.10432404652237884,0.08364756418935328,96
monotone,10,0.0,monotone,9,4,500,0.1,0.04851181432604785,0.03710969351232045,0.08526177145540709,0.062448755595444966,96
monotone,10,0.0,monotone,15,7,1,0.1,0.6094922423362732,0.5454379469156265,0.686867281794548,0.6368168583139777,96
monotone,10,0.0,monotone,15,7,2,0.1,0.5128892064094543,0.47159121185541153,0.5857027918100357,0.547794689424336,96
monotone,10,0.0,monotone,15,7,5,0.1,0.25038860738277435,0.20523526147007934,0.32811163365840906,0.28592881606891746,96
monotone,10,0.0,monotone,15,7,10,0.1,0.21342557668685908,0.18644000589847556,0.2660078257322311,0.23343664958762622,96
monotone,10,0.0,monotone,15,7,20,0.1,0.19493315368890757,0.14644720405340192,0.23092415556311607,0.19501065928488967,96
monotone,10,0.0,monotone,15,7,50,0.1,0.1264913715422153,0.09831548295915123,0.16480121389031405,0.13602053824191288,96
monotone,10,0.0,monotone,15,7,100,0.1,0.086317453533411,0.060388238169252824,0.11749891005456445,0.0981865876431887,96
monotone,10,0.0,monotone,15,7,200,0.1,0.06650398299098009,0.04631193075329057,0.10882902331650254,0.08103974854263161,96
monotone,10,0.0,monotone,15,7,500,0.0372759372031493,0.04526370577514165,0.03456347808241838,0.07263012975454328,0.06070828716231816,96
monotone,10,0.0,unconstrained,5,2,1,0.1,0.38785314559936523,0.2970298901200294,0.6085034757852554,0.45125335718815524,96
monotone,10,0.0,unconstrained,5,2,2,0.1,0.2755804657936096,0.23677812516689298,0.3419412449002266,0.29697865899652237,96
monotone,10,0.0,unconstrained,5,2,5,0.0372759372031493,0.23367220908403397,0.17822629585862154,0.31862644851207733,0.2515340796671807,96
monotone,10,0.0,unconstrained,5,2,10,0.0372759372031493,0.20251366496086115,0.15585496649146074,0.2749038711190223,0.22762075594315923,96
monotone,10,0.0,unconstrained,5,2,20,0.0372759372031493,0.1513037160038948,0.1075108721852302,0.22297678515315053,0.17060660858017698,96
monotone,10,0.0,unconstrained,5,2,50,0.0372759372031493,0.1009789742529392,0.07234358042478556,0.13042106851935384,0.11212534756244467,96
monotone,10,0.0,unconstrained,5,2,100,0.1,0.0672170631587505,0.04681027308106415,0.0921735893934965,0.079596872596691,96
monotone,10,0.0,unconstrained,5,2,200,0.1,0.05053198151290415,0.039135404862463426,0.07498088665306568,0.06416734573819359,96
monotone,10,0.0,unconstrained,5,2,500,0.0372759372031493,0.04080335982143875,0.0281215198338031,0.0601199492812156,0.04871785858025149,96
monotone,10,0.0,unconstrained,9,4,1,0.1,0.5722486972808838,0.42128352075815195,0.6510817110538483,0.5391910066828132,96
monotone,10,0.0,unconstrained,9,4,2,0.1,0.3462134152650833,0.2884770035743713,0.411762073636055,0.3568467687194546,96
monotone,10,0.0,unconstrained,9,4,5,0.0372759372031493,0.25399151444435114,0.17863512784242624,0.32691103965044016,0.25762895517982537,96
monotone,10,0.0,unconstrained,9,4,10,0.1,0.1950587779283523,0.1633903309702873,0.23946814239025116,0.20693659487490848,96
monotone,10,0.0,unconstrained,9,4,20,0.1,0.14787174016237256,0.12568617425858966,0.17608252912759775,0.1609291031491011,96
monotone,10,0.0,unconstrained,9,4,50,0.0372759372031493,0.0772175826132297,0.061000867746770354,0.11113534495234488,0.09067018446512516,96
monotone,10,0.0,unconstrained,9,4,100,0.1,0.049902094528079,0.04087791126221413,0.08165784180164332,0.06563485144094248,96
monotone,10,0.0,unconstrained,9,4,200,0.0372759372031493,0.0416045188903808,0.03205369878560298,0.060458686202764476,0.053580684800787474,96
monotone,10,0.0,unconstrained,9,4,500,0.0372759372031493,0.027396774850785698,0.01713643176481125,0.0394310588017106,0.03410274257475972,96
monotone,10,0.0,unconstrained,15,7,1,0.1,0.4911897778511047,0.37206394970417017,0.5442278683185577,0.4607825481022398,96
monotone,10,0.0,unconstrained,15,7,2,0.0372759372031493,0.3181657940149307,0.268463522195816,0.4141499996185303,0.34192288930838305,96
monotone,10,0.0,unconstrained,15,7,5,0.0372759372031493,0.22269990295171735,0.17647441104054448,0.3035533875226974,0.24224018041665352,96
