target_kind,complexity,target_seed,noise_std,model,dim,eig_idx,lr,init_seed,step,train_rmse,val_rmse,test_rmse,seconds
monotone,5,0,0.0,monotone,5,2,0.01,0,2,0.5975135564804077,0.6188043355941772,0.6206308603286743,0.008472583023831248
monotone,5,0,0.0,monotone,5,2,0.01,0,5,0.5859370231628418,0.5546684265136719,0.5562625527381897,0.016951791010797024
monotone,5,0,0.0,monotone,5,2,0.01,0,10,0.44785642623901367,0.45293182134628296,0.4541279971599579,0.025748540996573865
monotone,5,0,0.0,monotone,5,2,0.01,0,20,0.2661536931991577,0.3088112473487854,0.310011625289917,0.035237208008766174
monotone,5,0,0.0,monotone,5,2,0.01,0,50,0.156205415725708,0.14596794545650482,0.1479078233242035,0.04857908305712044
monotone,5,0,0.0,monotone,5,2,0.01,0,100,0.14064642786979675,0.13713768124580383,0.13912935554981232,0.06567987496964633
monotone,5,0,0.0,monotone,5,2,0.01,0,200,0.12331562489271164,0.1300126314163208,0.131304070353508,0.09268804104067385
monotone,5,0,0.0,monotone,5,2,0.01,1,1,0.8863552808761597,0.8603391647338867,0.8624981045722961,0.0002799580106511712
monotone,5,0,0.0,monotone,5,2,0.01,1,2,0.8291513323783875,0.8423962593078613,0.8444449305534363,0.008135749958455563
monotone,5,0,0.0,monotone,5,2,0.01,1,5,0.7296850085258484,0.7790734767913818,0.7811815142631531,0.016644207993522286
monotone,5,0,0.0,monotone,5,2,0.01,1,10,0.7297728657722473,0.6690152883529663,0.6710383296012878,0.025488249957561493
monotone,5,0,0.0,monotone,5,2,0.01,1,20,0.48813721537590027,0.5048452615737915,0.5070030093193054,0.03498741704970598
monotone,5,0,0.0,monotone,5,2,0.01,1,50,0.25485846400260925,0.22919513285160065,0.23110626637935638,0.04863191698677838
monotone,5,0,0.0,monotone,5,2,0.01,1,100,0.13889054954051971,0.14244107902050018,0.1443444937467575,0.06600612495094538
monotone,5,0,0.0,monotone,5,2,0.01,1,200,0.12659114599227905,0.13944779336452484,0.14128364622592926,0.0939263750333339
monotone,5,0,0.0,monotone,5,2,0.1,0,1,0.7301797270774841,0.4629935324192047,0.46317189931869507,0.0002648750087246299
monotone,5,0,0.0,monotone,5,2,0.1,0,2,0.43511682748794556,0.3350108563899994,0.3354151248931885,0.007982458104379475
monotone,5,0,0.0,monotone,5,2,0.1,0,5,0.1589626967906952,0.14063914120197296,0.14272424578666687,0.016031417064368725
monotone,5,0,0.0,monotone,5,2,0.1,0,10,0.19505047798156738,0.20341283082962036,0.20463542640209198,0.024616500013507903
