protocol,optimizer,preprocessor_sample_size,preprocessor_seed,train_size,data_seed,model,preprocessing,matrix_dim,eig_idx,fm_rank,parameters_per_feature,num_parameters,lr,init_seed,train_logloss,val_logloss,val_brier,test_logloss,test_brier,elapsed_seconds
one_pass,adam,3667249,0,16384,0,spectral-old,bucket,3,1,0,6,7667718,0.001,0,0.7020656764507294,0.677986695330435,0.24238193692364673,,,20.007761458982714
one_pass,adam,3667249,0,262144,0,spectral-old,bucket,3,1,0,6,7667718,0.001,0,0.592391362413764,0.5459333399633943,0.1814229925058818,,,39.774206208996475
one_pass,adam,3667249,0,4194304,0,spectral-old,bucket,3,1,0,6,7667718,0.001,0,0.484435477264924,0.463338476491517,0.15053236631181116,0.4685426201699953,0.15245708021863977,93.49011162493844
one_pass,adam,3667249,0,16384,0,spectral-old,bucket,3,1,0,6,7667718,0.001,1,0.7237583100795746,0.69893844729297,0.25254938999807475,,,19.65750587498769
one_pass,adam,3667249,0,262144,0,spectral-old,bucket,3,1,0,6,7667718,0.001,1,0.5934181641787291,0.5388040647526099,0.17866045618678816,,,39.622531582950614
one_pass,adam,3667249,0,4194304,0,spectral-old,bucket,3,1,0,6,7667718,0.001,1,0.4823632684419863,0.4630621905997217,0.15042887168935815,0.4683706771999597,0.15239873226889528,93.31550754094496
one_pass,adam,3667249,0,16384,0,spectral-old,bucket,3,1,0,6,7667718,0.01,0,0.6303222626447678,0.5738182701498385,0.19126966946939192,0.5808256013974428,0.1942952884226915,20.085551250027493
one_pass,adam,3667249,0,262144,0,spectral-old,bucket,3,1,0,6,7667718,0.01,0,0.5127466470003128,0.4825658865951867,0.15748507601752823,0.4881367326080951,0.15952190793614604,40.334392708027735
one_pass,adam,3667249,0,4194304,0,spectral-old,bucket,3,1,0,6,7667718,0.01,0,0.4731519118358847,0.46583018470979504,0.15134830819611272,,,92.94611820811406
one_pass,adam,3667249,0,16384,0,spectral-old,bucket,3,1,0,6,7667718,0.01,1,0.6377624720335007,0.5691310030642477,0.1897836603542753,0.5755745328039064,0.19256645040141468,19.851228083949536
one_pass,adam,3667249,0,262144,0,spectral-old,bucket,3,1,0,6,7667718,0.01,1,0.5153716527856886,0.4831738653282473,0.1577398515251506,0.4886826021657582,0.1597856038778321,39.88849204196595
one_pass,adam,3667249,0,4194304,0,spectral-old,bucket,3,1,0,6,7667718,0.01,1,0.47377438453258947,0.46618792337251747,0.15148432242326465,,,93.57262474996969
one_pass,adam,3667249,0,16384,0,spectral-old,bucket,3,1,0,6,7667718,0.1,0,0.7907612323760986,0.6346791397194913,0.21644650866596596,,,19.007578084012493
one_pass,adam,3667249,0,262144,0,spectral-old,bucket,3,1,0,6,7667718,0.1,0,0.5954267727211118,0.5599496681339539,0.17644492090718245,,,40.67412587499712
one_pass,adam,3667249,0,4194304,0,spectral-old,bucket,3,1,0,6,7667718,0.1,0,0.5836062704329379,0.5808990437186968,0.17986892289711479,,,91.42662820895202
one_pass,adam,3667249,0,16384,0,spectral-old,bucket,3,1,0,6,7667718,0.1,1,0.7519292086362839,0.5870612446182973,0.19692732568174504,,,17.960617166943848
one_pass,adam,3667249,0,262144,0,spectral-old,bucket,3,1,0,6,7667718,0.1,1,0.5919512510299683,0.5457926303334896,0.1744742929430981,,,37.81634804198984
one_pass,adam,3667249,0,4194304,0,spectral-old,bucket,3,1,0,6,7667718,0.1,1,0.5807754095876589,0.5797641214296476,0.18029080924892776,,,89.34201516699977
one_pass,adam,3667249,0,16384,0,spectral-new,hybrid,3,1,0,6,5112144,0.001,0,0.6856946498155594,0.6696010656623865,0.23833434699178235,,,17.423562083975412
