protocol,optimizer,train_pool_size,phase,train_size,data_seed,model,dim,width,num_parameters,lr,init_seed,val_logloss,test_logloss,test_brier
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.00026826957952797245,6,0.6372195877075195,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.00026826957952797245,6,0.6371556244506836,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.00026826957952797245,7,0.7333616170349121,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.00026826957952797245,7,0.7326877162780762,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.00026826957952797245,7,0.7300562580566407,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.00026826957952797245,7,0.7204451694335937,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.00026826957952797245,7,0.6946016427307129,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.00026826957952797245,7,0.6586052039489746,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.00026826957952797245,7,0.6466247688903809,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.00026826957952797245,7,0.6401181064453125,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.00026826957952797245,7,0.6372642122802734,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.00026826957952797245,7,0.6371556580505371,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.0007196856730011522,0,0.7070558779296875,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.0007196856730011522,0,0.7056234298095703,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.0007196856730011522,0,0.7002753052062989,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.0007196856730011522,0,0.6842952687072754,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.0007196856730011522,0,0.6570842440185547,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.0007196856730011522,0,0.6406557469177246,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.0007196856730011522,0,0.6376876322021484,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.0007196856730011522,0,0.6371709071350098,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.0007196856730011522,0,0.6371855021972657,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.0007196856730011522,0,0.637186942993164,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.0007196856730011522,1,0.7419666847229004,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.0007196856730011522,1,0.740140791595459,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.0007196856730011522,1,0.7332897903442382,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.0007196856730011522,1,0.7116079104003906,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.0007196856730011522,1,0.6725295858764648,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.0007196856730011522,1,0.6447976038513183,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.0007196856730011522,1,0.6394387393798828,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.0007196856730011522,1,0.6372307855834961,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.0007196856730011522,1,0.637185547454834,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.0007196856730011522,1,0.6371869405212403,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.0007196856730011522,2,0.7276847515563964,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.0007196856730011522,2,0.7259197912902832,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.0007196856730011522,2,0.7191185304260254,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.0007196856730011522,2,0.697423916442871,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.0007196856730011522,2,0.6609470566101074,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.0007196856730011522,2,0.6406917160339356,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.0007196856730011522,2,0.6375645068054199,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.0007196856730011522,2,0.6371682500915528,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.0007196856730011522,2,0.6371854948120117,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.0007196856730011522,2,0.6371869415283203,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.0007196856730011522,3,0.718731598602295,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.0007196856730011522,3,0.7173915611572266,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.0007196856730011522,3,0.7122687677917481,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.0007196856730011522,3,0.6955493363952636,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.0007196856730011522,3,0.6637703075256348,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.0007196856730011522,3,0.6407834506835938,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.0007196856730011522,3,0.6376358502197266,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.0007196856730011522,3,0.6371711843566894,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.0007196856730011522,3,0.6371855240478516,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.0007196856730011522,3,0.6371869434509277,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.0007196856730011522,4,0.7481702178344727,,
