protocol,optimizer,preprocessor_sample_size,preprocessor_seed,phase,train_size,data_seed,model,dim,lr,init_seed,val_logloss,test_logloss,test_brier
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.003727593720314938,1,0.46889783136699625,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.003727593720314938,1,0.46194589856080426,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.003727593720314938,1,0.45892371201469523,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.003727593720314938,2,0.662263659649014,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.003727593720314938,2,0.5960230968864134,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.003727593720314938,2,0.5423015774860905,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.003727593720314938,2,0.48905073089140455,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.003727593720314938,2,0.46889783136699625,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.003727593720314938,2,0.46194589856080426,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.003727593720314938,2,0.45892371201469523,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.003727593720314938,3,0.662263659649014,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.003727593720314938,3,0.5960230968864134,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.003727593720314938,3,0.5423015774860905,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.003727593720314938,3,0.48905073089140455,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.003727593720314938,3,0.46889783136699625,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.003727593720314938,3,0.46194589856080426,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.003727593720314938,3,0.45892371201469523,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.003727593720314938,4,0.662263659649014,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.003727593720314938,4,0.5960230968864134,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.003727593720314938,4,0.5423015774860905,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.003727593720314938,4,0.48905073089140455,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.003727593720314938,4,0.46889783136699625,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.003727593720314938,4,0.46194589856080426,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.003727593720314938,4,0.45892371201469523,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.003727593720314938,5,0.662263659649014,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.003727593720314938,5,0.5960230968864134,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.003727593720314938,5,0.5423015774860905,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.003727593720314938,5,0.48905073089140455,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.003727593720314938,5,0.46889783136699625,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.003727593720314938,5,0.46194589856080426,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.003727593720314938,5,0.45892371201469523,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.003727593720314938,6,0.662263659649014,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.003727593720314938,6,0.5960230968864134,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.003727593720314938,6,0.5423015774860905,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.003727593720314938,6,0.48905073089140455,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.003727593720314938,6,0.46889783136699625,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.003727593720314938,6,0.46194589856080426,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.003727593720314938,6,0.45892371201469523,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.003727593720314938,7,0.662263659649014,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.003727593720314938,7,0.5960230968864134,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.003727593720314938,7,0.5423015774860905,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.003727593720314938,7,0.48905073089140455,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.003727593720314938,7,0.46889783136699625,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.003727593720314938,7,0.46194589856080426,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.003727593720314938,7,0.45892371201469523,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.0071968567300115215,0,0.6373310865363429,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.0071968567300115215,0,0.5584396672742283,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.0071968567300115215,0,0.5160450421387283,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.0071968567300115215,0,0.4788036364069129,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.0071968567300115215,0,0.4671387285461217,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.0071968567300115215,0,0.4637783127534035,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.0071968567300115215,0,0.46151165521523224,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.0071968567300115215,1,0.6373310865363429,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.0071968567300115215,1,0.5584396672742283,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.0071968567300115215,1,0.5160450421387283,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.0071968567300115215,1,0.4788036364069129,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.0071968567300115215,1,0.4671387285461217,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.0071968567300115215,1,0.4637783127534035,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.0071968567300115215,1,0.46151165521523224,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.0071968567300115215,2,0.6373310865363429,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.0071968567300115215,2,0.5584396672742283,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.0071968567300115215,2,0.5160450421387283,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.0071968567300115215,2,0.4788036364069129,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.0071968567300115215,2,0.4671387285461217,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.0071968567300115215,2,0.4637783127534035,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.0071968567300115215,2,0.46151165521523224,,
